Entry,EC Numbers,CLEAN-contact Prediction,CLEAN-contact Prediction Maxsep,ActSeekN Prediction
WP_043349430,1.1.3.15,EC:1.1.99.14,EC:1.1.99.14,"[['P52074 -- 1.1.99.14', 0.4495737722705166], ['P96797 -- 1.8.98.1', 0.30147837353405305], ['A0A5E4I6T8 -- 1.3.4.1', 0.24894785419543047]]"
WP_043352074,6.2.1.32,EC:6.2.1.12,"EC:6.2.1.12,EC:6.2.1.2,EC:6.2.1.25,EC:6.2.1.27,EC:6.2.1.17","[['G0F160 -- 6.2.1.32', 0.195267947500993], ['Q9AJS8 -- 6.2.1.27|6.2.1.37', 0.2866541769160697], ['A0A653UWY4 -- 6.2.1.40', 0.22225159128818242], ['Q08AH3 -- 6.2.1.25|6.2.1.2', 0.13292562653009907], ['A0A5E4IXY1 -- 6.2.1.40', 0.162900657764656], ['Q9L9F6 -- 6.3.1.15', 0.20337658619332818], ['P0DX84 -- 6.2.1.44', 0.19938880999345898], ['B9DGD6 -- 6.2.1.1', 0.1900835052626837], ['P39518 -- 6.2.1.3', 0.16748660039450555], ['Q8VZF1 -- 6.2.1.2|6.2.1.1', 0.1887544933282676]]"
WP_043354857,1.1.1.103,"EC:1.1.1.410,EC:1.1.1.203",EC:1.1.1.410,"[['Q2KIR8 -- 1.1.1.103', 0.26606859588002685], ['A0A7W9T6A5 -- 5.1.3.25', 0.14636549973486718], ['A7GKX7 -- 4.1.1.128', 0.2174452260620024], ['B2FI29 -- 1.1.1.412', 0.18453452314656765], ['A0A072VDF2 -- 1.2.1.44|1.2.1.', 0.1855861551765358], ['Q70FD1 -- 1.1.1.15|1.1.1.250', 0.1727808094832724], ['P0DMP5 -- 1.1.1.194', 0.14828326302409828], ['P51110 -- 1.1.1.219|1.1.1.234', 0.1598515961765074], ['P9WQP7 -- 5.3.3.1|1.1.1.145', 0.1855861551765358], ['P44094 -- 1.1.1.410', 0.1577482319000554], ['Q8LKV5 -- 1.1.1.146|1.1.1.62', 0.1633156401742837], ['Q8KWS9 -- 1.1.1.385', 0.12248673013071279], ['P67910 -- 5.1.3.20', 0.1855861551765358], ['Q0WRJ2 -- 1.1.1.102', 0.1521807835392208], ['P37778 -- 1.1.1.133', 0.17395602852049794], ['Q59RQ2 -- 1.1.1.102', 0.15465492888074825], ['A0QYC2 -- 1.1.1.403', 0.1521807835392208], ['Q1R183 -- 1.1.1.313', 0.15162382023113294], ['A7LB59 -- 1.1.1.|1.1.1.146', 0.14574696339948529], ['D4GS48 -- 1.1.1.388', 0.15514985816556953], ['Q7RZR2 -- 1.1.1.102', 0.12619844922558288], ['G3B519 -- 1.1.1.102', 0.12935366600833767], ['O75452 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.15341785620998452], ['P38342 -- 1.1.1.102', 0.15712947508833883], ['A0A140FAN3 -- 1.1.1.62|1.1.1.146', 0.13869488753061213], ['Q5E8K3 -- 1.1.1.250', 0.09972160653648994], ['Q9ERI6 -- 1.1.1.300', 0.1504486011939074], ['Q9NYR8 -- 1.1.1.300', 0.13987010656783766], ['Q09851 -- 3.1.1.3|1.1.1.101', 0.14846876379480337], ['Q9HK58 -- 1.1.1.377', 0.14692218243671082], ['A0A1E3Q3G7 -- 1.1.1.102', 0.13040517777848684], ['C8WMP0 -- 1.1.1.|1.1.1.52', 0.14339614450227425], ['P97852 -- 4.2.1.119|4.2.1.107', 0.14228259870885848], ['A0A4R8SM07 -- 1.1.1.313', 0.09409214419569191], ['Q2SYH7 -- 5.1.3.25', 0.13250854205493884], ['Q9Y7P2 -- 1.1.1.102', 0.13040517777848684], ['P22414 -- 4.2.1.119', 0.16455311371111056], ['Q8X505 -- 1.1.1.298|1.1.1.381', 0.12619844922558288], ['P39831 -- 1.1.1.298|1.1.1.381', 0.1459946184532759], ['P38286 -- 1.1.1.330', 0.14846876379480337], ['P37058 -- 1.1.1.64|1.1.1.62', 0.1385709798305042], ['Q9M2E2 -- 1.1.1.|1.1.1.208', 0.13869488753061213], ['P55463 -- 1.1.1.133', 0.14407687520734797], ['C1DMX5 -- 1.1.1.378', 0.1521807835392208], ['P0C0Y5 -- 1.1.1.138', 0.14846876379480337], ['O14756 -- 1.1.1.105|1.1.1.62|1.1.1.209|1.1.1.53|1.1.1.239', 0.14970623733163022], ['Q9KWN1 -- 1.1.1.276', 0.12341475511012029], ['E5F146 -- 1.1.1.344', 0.10856785868733682], ['Q2SYI1 -- 1.1.1.133', 0.15632545802555503], ['Q70FD1 -- 1.1.1.15|1.1.1.250', 0.13516846877341557], ['Q58NB6 -- 1.1.1.53|1.1.1.105|1.1.1.209', 0.13238481474455932], ['P0DXE1 -- 1.1.1.438', 0.1114752400265726], ['A0A3Q8GLE8 -- 5.5.1.35', 0.12458997414734582], ['P50166 -- 1.1.1.250', 0.12199206140883254], ['A0A246KQ95 -- 1.1.1.304|1.1.1.175', 0.11042372825642341], ['Q9F7E0 -- 1.1.1.245', 0.1125270925328754], ['A0A5E4KRV1 -- 1.1.1.377', 0.12458997414734582], ['Q8VCR2 -- 1.1.1.62|1.1.1.|1.1.1.105', 0.13114734120773247], ['Q9RA05 -- 1.1.1.n4', 0.14228259870885848], ['P9WGT3 -- 1.1.1.36|1.1.1.100', 0.13114734120773247], ['Q8NK50 -- 1.1.1.138', 0.12576557400733135], ['P40580 -- 1.1.1.320', 0.11518707938126159], ['G3YG17 -- 1.1.1.10', 0.12694079304455688], ['A0A0F4YYU2 -- 1.1.1.250', 0.08685422681995998], ['D2WKD9 -- 1.1.1.216', 0.11753789827847266], ['Q28960 -- 1.1.1.71|1.1.1.184|1.1.1.196|1.1.1.197|1.1.1.189', 0.12124955724343327], ['Q8NBQ5 -- 1.1.1.62', 0.11382631948672467], ['D5RR15 -- 1.1.1.162', 0.0918652730851951], ['Q64105 -- 1.1.1.153', 0.12743572232937816], ['Q8N3Y7 -- 1.1.1.105', 0.12496117612178759], ['A0A087D157 -- 1.1.1.105', 0.09093716793257495], ['P87219 -- 1.1.1.289', 0.12106393621290924], ['P87219 -- 1.1.1.289', 0.12106393621290924], ['P28845 -- 1.1.1.201|1.1.1.146', 0.11135177327913409], ['O08756 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.11506339215748838], ['Q9WXG7 -- 1.3.1.49', 0.11518707938126159], ['O02691 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.11630046482825214], ['N4WE73 -- 1.1.1.1', 0.09254564301081199], ['A0A8C5KW34 -- 1.1.1.62|1.1.1.300', 0.10411397616322109], ['Q5P5I4 -- 1.1.1.311', 0.11506339215748838], ['P14060 -- 1.1.1.145|1.1.1.210|1.1.1.270|5.3.3.1', 0.12496117612178759], ['P51660 -- 4.2.1.119|4.2.1.107', 0.10764015440077979], ['Q8VD48 -- 1.1.1.53|1.1.1.105|1.1.1.209', 0.10887722707154351], ['Q988B7 -- 1.1.1.107', 0.10931022254961396], ['Q6YN16 -- 1...', 0.12248703078026012], ['Q21929 -- 1.1.1.10', 0.11382631948672467], ['P87017 -- 1.1.1.352', 0.10887722707154351], ['Q8X7P7 -- 5.1.3.26', 0.12341475511012029], ['Q70FD1 -- 1.1.1.15|1.1.1.250', 0.11166104144682502], ['Q9P7B4 -- 1.1.1.381', 0.08833891445790802], ['A1ABF1 -- 1.5.1.50|1.5.1.3', 0.0798020106479647], ['G0RH19 -- 1.1.1.10', 0.10931022254961396], ['O70351 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.10640268086395294], ['I6Y778 -- 1.1.1.212', 0.1187750110358427], ['Q9VXJ0 -- 4.2.1.119', 0.10640268086395294], ['P47844 -- 1.1.1.71|1.1.1.184|1.1.1.196|1.1.1.197|1.1.1.189', 0.11753793836507898], ['P42535 -- 1.14.13.50', 0.10108254682075529], ['A0A173KS42 -- 1.1.1.76', 0.09050405219468556], ['A4ECA9 -- 1.1.1.201', 0.10764015440077979], ['P37058 -- 1.1.1.64|1.1.1.62', 0.11011429974230726], ['P43066 -- 1.1.1.250', 0.0798020106479647], ['A0A8F5SIS3 -- 1.1.1.198', 0.09990724761031713], ['A0A6H0ZPB0 -- 1.1.1.276', 0.07609019133657884], ['B0LL23 -- 1.23.1.1|1.23.1.2', 0.12248703078026012], ['Q05016 -- 1.1.1.|1.1.1.381', 0.10021651577800805], ['F7PGE9 -- 1.1.1.100|1.1.1.53', 0.06996610036050686]]"
WP_053163627,6.3.1.11,EC:6.3.1.11,EC:6.3.1.11,"[['A0A2S6SDJ8 -- 6.3.1.11', 0.2675678516201035], ['B6IMX3 -- 6.3.1.11', 0.20437261391784226], ['A0A1C9WB64 -- 6.3.1.11', 0.1720885270724898], ['A0A3P5XHL7 -- 6.3.1.11', 0.1726870198388331], ['I3R584 -- 6.3.1.11', 0.18328398755073128], ['A0A335TC75 -- 6.3.1.11', 0.12632023711774837], ['A9ZPH9 -- 6.3.1.6|6.3.4.12', 0.1908182047706631], ['O87393 -- 6.3.1.2', 0.1485001852220386], ['P15623 -- 6.3.1.2', 0.14515559473592096], ['Q05650 -- 6.3.1.2', 0.12389100178856088], ['A0A2H6AS18 -- 6.3.1.11', 0.12910143785641778], ['O08467 -- 6.3.1.2', 0.13660056818194644], ['A0A0N1GNU2 -- 6.3.1.11', 0.11104058795831329], ['P15103 -- 6.3.1.2|2.3.1.225', 0.10209834785553448], ['P15105 -- 6.3.1.2|2.3.1.225', 0.09505710472686578], ['P22878 -- 6.3.1.2', 0.08139693503722775], ['P16580 -- 6.3.1.2|4.1.1.15', 0.09435278692009595], ['P94845 -- 6.3.1.2', 0.10234463334501714], ['Q04831 -- 6.3.1.2', 0.08199560517298209]]"
WP_054594340,1.3.8.7,"EC:1.3.8.1,EC:1.3.8.8,EC:1.3.8.7",EC:1.3.8.1,"[['A3SI50 -- 1.3.99.41', 0.31162266157931506], ['Q0AVM4 -- 1.3.8.1', 0.21662387175323652], ['Q3L887 -- 1.3.8.7|1.3.8.8|1.3.8.1', 0.1974639262506076], ['P45954 -- 1.3.8.1|1.3.8.5', 0.1629076204316665], ['Q06319 -- 1.3.8.1', 0.11138191998517433], ['A0A6J4LJ54 -- 1.3.99.12', 0.073586081503967], ['A0A087R2F2 -- 1.3.3.6', 0.07836841924435721]]"
WP_054594536,2.6.1.19,"EC:2.6.1.113,EC:2.6.1.18,EC:2.6.1.96,EC:2.6.1.105,EC:2.6.1.119,EC:2.6.1.112",EC:2.6.1.113,"[['Q9I6J2 -- 2.6.1.113', 0.2594469698336629], ['Q01K11 -- 2.6.1.96', 0.193187677655169], ['A0A6N7C5X8 -- 2.6.1.105', 0.20372698324826513], ['D6R3B6 -- 2.6.1.119', 0.20662901921968657], ['A0A644WIN2 -- 2.6.1.113', 0.13700935004321635], ['A0A418SGX4 -- 2.6.1.113', 0.13581795184831275], ['Q94AL9 -- 2.6.1.44', 0.15683515132833253], ['A0A087RX27 -- 2.6.1.62', 0.15787396334633716], ['Q728P4 -- 2.6.1.62', 0.1620285041019566], ['M1GRN3 -- 5.1.1.21', 0.16774099937455197], ['M1GRN3 -- 5.1.1.21', 0.16774099937455197], ['B7GHM5 -- 2.6.1.62', 0.14904547582609595], ['P50277 -- 2.6.1.62', 0.1509087691242578], ['Q89AK4 -- 2.6.1.62', 0.12048262500149612], ['A0A7J3NP14 -- 2.6.1.11', 0.12246839498827775], ['Q7VTJ7 -- 2.6.1.11', 0.10801900273463774], ['O82521 -- 2.6.1.119', 0.12304864407654344], ['Q7W7H6 -- 2.6.1.11', 0.10698019071663313], ['O04866 -- 2.6.1.11', 0.09919051521439654], ['P40732 -- 2.6.1.11|2.6.1.17', 0.09897658667607018], ['Q9I700 -- 2.6.1.18', 0.09469995756240294], ['A0A5S9QZM6 -- 5.1.1.21', 0.05639218680553405], ['A0A345DCB1 -- 2.6.1.105', 0.057980777830851156], ['A0A6J5FXA0 -- 2.6.1.37', 0.06699252964317953]]"
WP_054594538,6.3.1.11,EC:6.3.1.11,EC:6.3.1.11,"[['B6IMX3 -- 6.3.1.11', 0.21057648362259634], ['A0A2S6SDJ8 -- 6.3.1.11', 0.2628459201211562], ['A0A1C9WB64 -- 6.3.1.11', 0.16522413085405713], ['I3R584 -- 6.3.1.11', 0.20393217429208887], ['A0A3P5XHL7 -- 6.3.1.11', 0.15742129111010145], ['A0A335TC75 -- 6.3.1.11', 0.12757260248250765], ['A9ZPH9 -- 6.3.1.6|6.3.4.12', 0.18468039420465437], ['O87393 -- 6.3.1.2', 0.17479909125346915], ['P15623 -- 6.3.1.2', 0.14890272093048734], ['Q05650 -- 6.3.1.2', 0.12338163974072215], ['O08467 -- 6.3.1.2', 0.1267549659407321], ['P22878 -- 6.3.1.2', 0.09094324073340311], ['P15103 -- 6.3.1.2|2.3.1.225', 0.11448815496794454], ['P94845 -- 6.3.1.2', 0.11237570225089522], ['P16580 -- 6.3.1.2|4.1.1.15', 0.10903641237821168], ['P15105 -- 6.3.1.2|2.3.1.225', 0.10971776315816169], ['A0A2H6AS18 -- 6.3.1.11', 0.09840543629905489], ['A0A0N1GNU2 -- 6.3.1.11', 0.1087637472195473], ['Q04831 -- 6.3.1.2', 0.07993730324357616]]"
WP_054595050,1.2.1.16,"EC:1.2.1.16,EC:1.2.1.24",EC:1.2.1.16,"[['P0DOV9 -- 1.2.1.97', 0.20441318084748733], ['Q3MSM3 -- 1.2.1.24', 0.22226121543130015], ['P55653 -- 1.2.1.79', 0.17245715018180321], ['P94428 -- 1.2.1.79', 0.21224514863596108], ['P0DOV9 -- 1.2.1.97', 0.18862330490344817], ['Q9AHG1 -- 1.1.1.257', 0.18734305576419433], ['A0A1V4WCU3 -- 1.2.1.67', 0.21081428195091267], ['P00352 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.21739124410080776], ['P24549 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.21939963870345092], ['Q8GAI8 -- 1.2.1.16', 0.2012753233430362], ['P42236 -- 1.2.1.26', 0.21588506864286205], ['A0A1A8TSP8 -- 1.2.1.39', 0.14032529461786034], ['P43503 -- 1.2.1.28', 0.16078416988868724], ['P42269 -- 1.2.1.60', 0.17966156092867114], ['Q25417 -- 1.2.1.3', 0.19889046922173226], ['O94788 -- 1.2.1.36', 0.20986036681107917], ['A0A7X0H8G2 -- 1.2.1.22|1.2.1.21', 0.15890157106029174], ['A0A0A1HY32 -- 1.2.1.39', 0.19745960253668382], ['P37685 -- 1.2.1.4', 0.20433788412399373], ['P0C6D7 -- 1.2.1.3', 0.17411388293852517], ['Q2BN77 -- 1.2.1.73', 0.1931670024815385], ['A0A7Y9J461 -- 1.2.1.78', 0.1328196246805959], ['Q66HF8 -- 1.2.1.3', 0.17624769978390237], ['A0A051TT20 -- 1.2.1.79', 0.15137063352354482], ['C6KEM4 -- 1.2.1.19|1.2.1.47|1.2.1.54|1.2.1.', 0.20433788412399373], ['A0A2A2ZID7 -- 1.2.1.79', 0.14835822236063506], ['O06837 -- 1.2.1.39', 0.16899288638150972], ['A0A0A8X6R5 -- 1.2.1.39', 0.1334721962842073], ['Q9JHW9 -- 1.2.1.36', 0.20433788412399373], ['A0A2U3PB70 -- 1.2.1.79', 0.1528767487344722], ['A0A1Y5PFD0 -- 1.2.1.79', 0.1498645183126174], ['A6ZR27 -- 1.2.1.5', 0.1745405643716557], ['A0A3S4SCN4 -- 1.2.1.39', 0.12792455444227233], ['A0A162J448 -- 1.2.1.3', 0.16728595580912536], ['Q3YAT5 -- 1.2.1.98', 0.1702731355207636], ['A0A081I8J3 -- 1.2.1.79', 0.1864895483050893], ['A0A0G4K0X2 -- 1.2.1.22', 0.1259665263469429], ['A0A2S6SNF3 -- 1.2.1.73', 0.18744353574134479], ['A0A2N7QSM6 -- 1.2.1.67', 0.18792041499013773], ['H1ZV37 -- 1.2.1.86', 0.19429663407499784], ['H1ZV37 -- 1.2.1.86', 0.19329243677367625], ['Q79EM7 -- 1.2.1.78', 0.19379465591837367], ['P43503 -- 1.2.1.28', 0.1445928439627891], ['A0A1W9ZYQ2 -- 1.2.1.79', 0.14421636034532095], ['Q8GAK7 -- 1.2.1.3|1.2.1.4', 0.1877699540865908], ['A0A653XXX6 -- 1.2.1.39', 0.1788583356310542], ['Q9JLJ2 -- 1.2.1.46|1.2.1.19|1.2.1.47|1.2.1.3', 0.1953008313763194], ['Q9KWS5 -- 1.2.1.32', 0.1600311424067327], ['A0A6J5H4Y8 -- 1.2.1.39', 0.12433478405341913], ['Q79EM7 -- 1.2.1.78', 0.19429663407499784], ['A0A2Z3S0V1 -- 1.2.1.39', 0.12009244206095458], ['P38067 -- 1.2.1.16', 0.18425538402600194], ['Q9US47 -- 1.2.1.16', 0.1540565781435939], ['Q97UA1 -- 1.2.1.26', 0.15277632900434004], ['Q1JUP4 -- 1.2.1.26|1.2.1.24', 0.18325142771275363], ['A0A7K0DLN1 -- 1.2.1.86', 0.11976599961690126], ['Q8NMB0 -- 1.2.1.96|1.2.1.64|1.2.1.67', 0.18174525225480792], ['Q4VKV0 -- 1.2.99.10', 0.1540565781435939], ['A0A447N593 -- 1.2.1.79|1.2.1.16', 0.13179041281726878], ['P25553 -- 1.2.1.21|1.2.1.22', 0.17772870403759491], ['A0R4Q0 -- 1.2.1.79', 0.1310372648412776], ['O57693 -- 1.2.1.90', 0.17823068219421906], ['Q58806 -- 1.2.1.22', 0.16645741471441122], ['P23105 -- 1.2.1.85', 0.14680196958106356], ['A0A7Z7IMH6 -- 1.2.1.3', 0.12877800165435904], ['Q9SNX8 -- 1.2.1.9', 0.15882620204037612], ['Q6L285 -- 1.2.1.89', 0.16718547583197485], ['Q8BH00 -- 1.2.1.32', 0.1621648146592659], ['P94682 -- 1.1.1.257', 0.14509483416881688], ['H2IFE7 -- 1.2.1.92', 0.13997383761180143], ['H2IFE7 -- 1.2.1.92', 0.14125408675105527], ['P10503 -- 1.2.1.88|1.5.5.2', 0.16417312491608343], ['B8M9K4 -- 1.2.1.3', 0.1433879035964325], ['A0A2Z4AF04 -- 1.2.1.73', 0.10899684509258938], ['A0A447GH96 -- 1.2.1.3', 0.12011743252415283], ['Q8LK61 -- 1.2.1.9', 0.16517732221740503], ['A0A4R8SWK9 -- 1.2.1.86', 0.10801783104492463], ['A0A1A2NEQ7 -- 1.2.1.79', 0.14928701449383], ['A0A084GE61 -- 1.2.1.67|1.2.1.65', 0.10149117515532494], ['A0A0K2W6H9 -- 1.2.1.3', 0.11635205412630684], ['Q84DC3 -- 1.2.1.28|1.2.1.7', 0.14404065594109883], ['A0A1L9P2T4 -- 1.2.1.67', 0.09920670461594219], ['A0A2R6WS28 -- 1.2.1.9', 0.12845159535851666], ['A0A653T2Q5 -- 1.2.1.67', 0.14451753518989177], ['P51648 -- 1.2.1.3|1.2.1.94', 0.14258469034821922], ['Q9H2A2 -- 1.2.1.32', 0.1435886466614675], ['A0AB37GB67 -- 1.2.1.79', 0.10618536978517323], ['Q84DC3 -- 1.2.1.28|1.2.1.7', 0.13450146839455276], ['P43353 -- 1.2.1.48|1.2.1.28|1.2.1.5|1.2.1.7', 0.13053528668465345], ['A0A5E7BK90 -- 1.2.1.16', 0.08745853604396557], ['K9UV87 -- 1.2.1.67', 0.11607599023897089], ['P83401 -- 1.2.1.3', 0.1207701005229935], ['P46329 -- 1.2.1.3', 0.1101014259758321], ['A0A069S5S4 -- 1.2.1.21', 0.09827794863095819], ['Q8VXQ2 -- 1.2.1.3', 0.12257765566537235], ['Q9H2A2 -- 1.2.1.32', 0.1310372648412776], ['P27463 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.13254344029922333], ['A0A7K0CCB3 -- 1.2.1.78', 0.08191089420203058], ['B0T8I8 -- 1.2.1.71', 0.09564220182657152], ['A0A6J4B898 -- 1.2.1.3', 0.10113968200105507], ['Q5XI42 -- 1.2.1.48|1.2.1.28|1.2.1.5|1.2.1.7', 0.1184858830210877], ['P11883 -- 1.2.1.5', 0.12200021209360327], ['A0A084G0J3 -- 1.2.1.67', 0.07636309571784798], ['Q8VXQ7 -- 1.2.1.9', 0.09062148040684426], ['Q9A777 -- 1.2.1.68', 0.08886441226581578], ['P30839 -- 1.2.1.3|1.2.1.94', 0.11798366387639027], ['Q5WVZ4 -- 1.2.1.71', 0.08622848472037413], ['O57693 -- 1.2.1.90', 0.12250219025022745], ['Q9HK01 -- 1.2.1.89', 0.10894661112871595], ['O86447 -- 1.2.1.68', 0.10683812212983956], ['Q80VQ0 -- 1.2.1.48|1.2.1.28|1.2.1.5|1.2.1.7', 0.11145698388798325], ['A0A0M4M306 -- 1.2.1.17', 0.07081529723366538], ['A0A5V0Q5Z5 -- 1.2.1.71', 0.08020384313560955], ['A0A1X0B1Y1 -- 1.2.1.79', 0.06918371158238927], ['A7YWE4 -- 1.2.1.88', 0.09303150573240136], ['W7MWX4 -- 1.2.1.3', 0.08791050917538593], ['Q40255 -- 1.2.1.3', 0.08876387204164697], ['A0A090QBC1 -- 1.2.1.60', 0.04829797413737687], ['A0A1J5RJ23 -- 1.2.1.68', 0.06461492714587137], ['Q56694 -- 1.2.1.4', 0.07425445007672397], ['A1UDI2 -- 1.2.1.79', 0.060246958070810465], ['P22281 -- 1.2.1.3', 0.05889146040567763], ['Q6FFQ0 -- 1.2.1.26', 0.06614627380807028], ['Q0WSF1 -- 1.2.1.3', 0.06785320438045467], ['A0A2R8BVP0 -- 1.2.1.67', 0.042423889851388556], ['Q8LK61 -- 1.2.1.9', 0.06827987376418153], ['Q08IB7 -- 1.2.1.26', 0.06009640077203421]]"
WP_054596267,2.6.1.57,"EC:2.6.1.57,EC:2.6.1.107",EC:2.6.1.57,"[['A5A6K8 -- 2.6.1.3|2.6.1.1', 0.1982220738386063], ['P05201 -- 2.6.1.3|2.6.1.1', 0.20693999582324982], ['P04693 -- 2.6.1.57|2.6.1.107', 0.2035099044399326], ['P95468 -- 2.6.1.57', 0.18953294020198275], ['P46248 -- 2.6.1.1', 0.20179508569622842], ['Q56114 -- 2.6.1.1', 0.16618079000855274], ['A0A380MV70 -- 2.6.1.57', 0.14320018765872455], ['Q02636 -- 2.6.1.5', 0.16277947562585776], ['P43336 -- 2.6.1.57', 0.15549072434206992], ['O42652 -- 2.6.1.1', 0.16509461709863105], ['P08907 -- 2.6.1.7|2.6.1.1', 0.15777739519395947], ['O07587 -- 2.6.1.1', 0.0870348242104265], ['P95468 -- 2.6.1.57', 0.10970101286418169], ['A0A0C1E1D0 -- 2.6.1.5', 0.08794940177200054], ['O84395 -- 2.6.1.83', 0.10918647646188864], ['Q82DR2 -- 2.6.1.1', 0.0821186322318838], ['Q72LL6 -- 2.6.1.39', 0.09260838228638535], ['Q8KDS8 -- 2.6.1.78|2.6.1.1', 0.08797796317206608], ['O93744 -- 2.6.1.1', 0.07385821462858401], ['Q8DTM1 -- 2.6.1.14', 0.07823138823655221], ['Q16773 -- 2.6.1.64|2.6.1.7|4.4.1.13', 0.09032188164546162], ['C6C2Z3 -- 2.6.1.1', 0.07434395133545936], ['Q8DTM1 -- 2.6.1.14', 0.0733722850159474], ['O86459 -- 2.6.1.79|2.6.1.1', 0.07288635540331079], ['O85746 -- 2.6.1.57|2.6.1.5|2.6.1.1', 0.0863203353128793], ['Q5F4K8 -- 2.6.1.1', 0.08689198316790568], ['Q9LR29 -- 2.6.1.27|2.6.1.99', 0.08289024392956207], ['Q94A02 -- 2.6.1.27|2.6.1.99', 0.08289024392956207], ['Q8KDS8 -- 2.6.1.78|2.6.1.1', 0.0782026339307254], ['Q82WA8 -- 2.6.1.79|2.6.1.1', 0.07765975172892356], ['A0A1F2PIX9 -- 2.6.1.57', 0.060024046043564115], ['O67781 -- 2.6.1.78|2.6.1.1', 0.07191449617803758], ['Q5E9N4 -- 2.6.1.4|2.6.1.63|2.6.1.7|2.6.1.39|2.6.1.73', 0.07774533380254066], ['Q55128 -- 2.6.1.1', 0.0733722850159474], ['A0A645BFF7 -- 5.1.1.21', 0.052020839904422224], ['P58350 -- 2.6.1.39|2.6.1.1', 0.07277187150769651], ['Q59228 -- 2.6.1.1', 0.06608353373215957], ['Q5VQG8 -- 2.6.1.27', 0.0766019700081016], ['P58350 -- 2.6.1.39|2.6.1.1', 0.07277187150769651], ['A0A345DCB1 -- 2.6.1.105', 0.04867664832185832], ['Q53IZ1 -- 4.1.1.12|2.6.1.1', 0.07202874177829971], ['A0A132BX51 -- 2.6.1.105', 0.04793346185547291], ['A0A1L9NUT2 -- 2.6.1.105', 0.04681868215589482], ['Q01K11 -- 2.6.1.96', 0.0597668345794062]]"
WP_054596656,3.2.2.3,EC:3.2.2.3,EC:3.2.2.3,"[['P33022 -- 3.2.2.8', 0.22473813604147075], ['A0RKS2 -- 3.2.2.1', 0.1902245998739691], ['Q27546 -- 3.2.2.2|3.2.2.3', 0.2027710811049506], ['A0A1Q8KV09 -- 3.2.2.1', 0.18540902002400328], ['Q9SJM7 -- 3.2.2.|3.2.2.7|3.2.2.3|3.2.2.2', 0.1968571629556062], ['Q9SJM7 -- 3.2.2.|3.2.2.7|3.2.2.3|3.2.2.2', 0.1943225027706231], ['Q27546 -- 3.2.2.2|3.2.2.3', 0.16390658055082596], ['C5CJ35 -- 3.2.2.3', 0.09555593770659397], ['Q57X73 -- 3.2.2.1', 0.1299848407267881], ['A0A0W0ST76 -- 3.2.2.1', 0.10104770144072404], ['A0A1D7ZWK2 -- 3.2.2.3', 0.09555593770659397], ['A0A0C1PZP7 -- 3.2.2.1', 0.097203466826833], ['A0A422NRI5 -- 3.2.2.1', 0.09281005583952896], ['P83851 -- 3.2.2.2|3.2.2.3', 0.13349094727997834], ['Q04179 -- 3.2.2.3', 0.11405884147739077], ['A0A0A2CNW7 -- 3.2.2.1', 0.09551362113294021], ['Q8LAC4 -- 3.2.2.|3.2.2.3|3.2.2.2', 0.0996957670958199]]"
WP_054596807,4.3.1.9,"EC:4.3.1.27,EC:4.1.2.42",EC:4.3.1.27,
WP_054597481,3.5.3.6,EC:3.5.3.6,EC:3.5.3.6,"[['Q8YMD9 -- 4.3.1.12|3.5.3.27', 0.24823269931360134], ['B7USC6 -- 3.5.3.23', 0.17203440886064073], ['P76216 -- 3.5.3.23', 0.22937921181418766], ['Q2G9Z6 -- 3.5.3.23', 0.16967808938036494], ['P74535 -- 4.3.1.12|3.5.3.27', 0.18067559063120536], ['A0AAC8YJK8 -- 3.5.3.18', 0.12254510354613256]]"
WP_054597487,4.2.1.17,EC:3.1.2.4,"EC:3.1.2.4,EC:4.2.1.17","[['Q6NVY1 -- 3.1.2.4', 0.3470241960686546], ['P9WNN9 -- 4.2.1.17', 0.1993189855853956], ['P77467 -- 5.3.3.18', 0.2691629112616564], ['Q9XB60 -- 2.3.1.226', 0.1844939070842933]]"
WP_054597488,1.3.8.1,"EC:1.3.8.1,EC:1.3.8.11",EC:1.3.8.1,"[['Q0AVM4 -- 1.3.8.1', 0.1878999862955303], ['J7TF92 -- 1.3.8.15', 0.20297208748320916], ['A3SI50 -- 1.3.99.41', 0.21048169529677427], ['J7TF92 -- 1.3.8.15', 0.20297208748320916], ['P48818 -- 1.3.8.8|1.3.8.9', 0.19567414344127698], ['Q3IE94 -- 1.3.99.2', 0.10312552650097262], ['A0A087R2F2 -- 1.3.3.6', 0.11105805675967596]]"
